temps,ESTICOL,ETV
41544,6.60%,
56867,15.32%,
59410,19.65%,
66534,15.32%,
67958,19.65%,
72807,9.11%,
75765,15.29%,
76485,17.77%,
76389,19.64%,
76245,24.59%,
81478,22.11%,
84399,26.43%,
84543,24.59%,
90496,19.64%,
90520,15.24%,
92175,17.57%,
92103,24.57%,
92740,24.58%,
93196,28.89%,
94540,31.52%,
94815,28.91%,
95068,30.75%,
95116,33.22%,
95535,23.70%,
101005,30.52%,
101557,31.69%,
102205,32.02%,
102853,33.24%,
103693,33.61%,
104678,32.67%,
107155,38.18%,
108979,35.85%,
109339,37.10%,
110899,36.65%,
111331,38.19%,
111524,38.46%,
111812,39.60%,
112172,40.79%,
114755,43.85%,
115043,44.47%,
115547,44.62%,
115571,45.48%,
116675,46.53%,
124430,53.69%,
124982,53.59%,
126566,54.21%,
128895,60.09%,
129015,59.01%,
131575,63.95%,
134503,64.50%,
135709,-,62.5 %
136640,61.14%,
140339,68.29%,
140963,69.72%,
141947,70.12%,
142807,-,51.5 %
144468,69.87%,
150390,69.36%,
150606,70.14%,
155839,6.90%,
156864,-,10 %
158816,7.06%,
161446,9.71%,
164192,-,10 %
165287,11.87%,
166710,13.97%,
172927,16.70%,
174496,18.90%,
177638,-,13.5 %
178409,18.01%,
184477,20.81%,
188340,23.61%,
193896,24.79%,
200448,28.51%,
202559,30.23%,
205511,30.61%,
206015,31.70%,
207792,32.23%,
208192,-,28 %
213734,33.52%,
214758,-,29.5 %
215895,36.13%,
215597,37.79%,
219796,37.50%,
220300,38.79%,
221938,-,36.5 %
226904,12.17%,
228811,-,20 %
230121,12.07%,
234425,11.98%,
235481,12.09%,
237758,-,15 %
241332,16.63%,
247361,-,15.5 %
251292,17.16%,
254103,18.57%,
254463,21.02%,
263925,19.97%,-
